date,GPP.daily,ER.daily,GPP.daily.lower,GPP.daily.upper,ER.daily.lower,ER.daily.upper,K600.daily,K600.daily.lower,K600.daily.upper,P:R,GPP-ER,mols.O2,mols.CO2,NEP
9/18/2020,3.3918179,-4.273543,3.09735073,3.6699464,-4.732785,-3.806472,5.588403,4.910222,6.369029,0.793678196,-0.8817251,-0.027553909,-0.023420823,-0.281049876
9/19/2020,1.4979016,-2.470509,1.23743524,1.7412564,-2.962554,-2.009178,3.179951,2.43737,3.947158,0.60631295,-0.9726074,-0.030393981,-0.025834884,-0.310018609
9/20/2020,2.3057132,-3.076727,2.02637324,2.5783314,-3.554264,-2.603955,4.109385,3.318776,4.86242,0.749404546,-0.7710138,-0.024094181,-0.020480054,-0.245760649
9/21/2020,3.2989131,-3.742214,3.0303637,3.571655,-4.182036,-3.333087,4.482707,3.879501,5.108632,0.881540473,-0.4433009,-0.013853153,-0.01177518,-0.141302162
9/22/2020,2.6910859,-3.124086,2.43749976,2.9587286,-3.555091,-2.704455,3.917756,3.33577,4.553858,0.86139943,-0.4330001,-0.013531253,-0.011501565,-0.138018782
9/23/2020,2.4620902,-2.881557,2.21028378,2.7180996,-3.301375,-2.457688,3.452859,2.867865,4.076116,0.854430504,-0.4194668,-0.013108338,-0.011142087,-0.133705043
9/24/2020,2.2330945,-2.639027,1.98306779,2.4774705,-3.04766,-2.210922,2.987963,2.399961,3.598375,0.846180998,-0.4059325,-0.012685391,-0.010782582,-0.129390984
9/25/2020,1.9892313,-3.003362,1.73122417,2.2605636,-3.523595,-2.510846,4.816067,3.90998,5.740049,0.662334843,-1.0141307,-0.031691584,-0.026937847,-0.323254161
9/26/2020,1.9534512,-2.920899,1.69037035,2.2250658,-3.435965,-2.458854,4.417601,3.583325,5.368943,0.668784234,-0.9674478,-0.030232744,-0.025697832,-0.308373986
9/27/2020,2.1793607,-2.699149,1.91601977,2.4442336,-3.129417,-2.286789,4.66245,3.856349,5.46976,0.807425118,-0.5197883,-0.016243384,-0.013806877,-0.165682521
9/28/2020,2.4806611,-2.941221,2.20707515,2.7481055,-3.362437,-2.512754,4.390725,3.668741,5.100365,0.843412005,-0.4605599,-0.014392497,-0.012233622,-0.146803468
9/29/2020,2.5827993,-3.222581,2.32168268,2.8437462,-3.650906,-2.800031,4.43587,3.77553,5.177584,0.801469164,-0.6397817,-0.019993178,-0.016994201,-0.203930417
9/30/2020,2.6124635,-3.121386,2.37151994,2.8577354,-3.52136,-2.732202,4.366927,3.698898,5.064934,0.836956243,-0.5089225,-0.015903828,-0.013518254,-0.162219047
10/1/2020,2.4335326,-2.999073,2.17886071,2.6991419,-3.439455,-2.58153,4.336105,3.575771,5.044843,0.811428265,-0.5655404,-0.017673138,-0.015022167,-0.180266003
10/2/2020,2.5310292,-3.18059,2.28715151,2.7869986,-3.597435,-2.777048,4.22322,3.553722,4.938427,0.795773489,-0.6495608,-0.020298775,-0.017253959,-0.207047505
10/3/2020,2.5737951,-3.246853,2.33632182,2.8386867,-3.677356,-2.827225,4.411344,3.791143,5.096064,0.792704536,-0.6730579,-0.021033059,-0.0178781,-0.214537206
10/4/2020,2.4913469,-3.166746,2.24712916,2.7308562,-3.603829,-2.745716,4.221465,3.562883,4.958839,0.786721417,-0.6753991,-0.021106222,-0.017940289,-0.215283463
10/5/2020,2.6058779,-3.306298,2.34773285,2.8587128,-3.74147,-2.869542,4.512114,3.824354,5.248914,0.788155786,-0.7004201,-0.021888128,-0.018604909,-0.223258907
10/6/2020,2.6787916,-3.49923,2.41975763,2.9315091,-3.931055,-3.053052,4.634485,3.932066,5.346976,0.765537447,-0.8204384,-0.0256387,-0.021792895,-0.26151474
10/7/2020,2.7424709,-3.630553,2.49153104,3.0136601,-4.108278,-3.219979,4.72226,4.030174,5.428483,0.755386549,-0.8880821,-0.027752566,-0.023589681,-0.283076169
10/8/2020,2.5674052,-3.423083,2.29192592,2.8089029,-3.8448,-2.942762,4.6738,4.011189,5.434205,0.750027154,-0.8556778,-0.026739931,-0.022728942,-0.272747299
10/9/2020,2.2785445,-3.109759,2.03966047,2.5162521,-3.561418,-2.661927,4.315773,3.565093,5.084203,0.732707744,-0.8312145,-0.025975453,-0.022079135,-0.264949622
10/10/2020,2.0492515,-3.524717,1.7640723,2.3096403,-4.116718,-2.912657,5.816119,4.753808,6.960381,0.58139462,-1.4754655,-0.046108297,-0.039192052,-0.470304628
10/11/2020,1.7035804,-2.710813,1.4689041,1.9489382,-3.158569,-2.235755,3.948081,3.138924,4.809244,0.628438922,-1.0072326,-0.031476019,-0.026754616,-0.321055391
10/12/2020,1.6726175,-2.703183,1.43988923,1.9066746,-3.17886,-2.222284,4.145901,3.279136,5.089729,0.618758515,-1.0305655,-0.032205172,-0.027374396,-0.328492753
10/13/2020,1.0644199,-2.485561,0.84488543,1.2909262,-3.068973,-1.88929,4.639427,3.575743,5.945732,0.428241311,-1.4211411,-0.044410659,-0.03774906,-0.452988726
10/14/2020,1.5756409,-2.433338,1.33770025,1.8044081,-2.910139,-1.961185,4.440558,3.555843,5.426204,0.647522416,-0.8576971,-0.026803034,-0.022782579,-0.273390951
10/15/2020,1.3665859,-2.211913,1.1296324,1.6015657,-2.652999,-1.741424,3.746277,2.890717,4.664064,0.61782986,-0.8453271,-0.026416472,-0.022454001,-0.269448013
10/16/2020,1.1244838,-2.832684,0.89108479,1.3571515,-3.409204,-2.233204,4.762556,3.495982,6.159308,0.396967611,-1.7082002,-0.053381256,-0.045374068,-0.544488814
10/17/2020,0.335799,-1.904209,0.08911607,0.5592513,-2.632202,-1.248352,4.4514,3.177201,6.179244,0.176345664,-1.56841,-0.049012813,-0.041660891,-0.499930688
10/18/2020,0.4960783,-1.766521,0.27633254,0.7376821,-2.426342,-1.166102,4.446894,3.220167,6.032834,0.280822192,-1.2704427,-0.039701334,-0.033746134,-0.404953611
10/19/2020,0.8239341,-2.664907,0.59616116,1.0549785,-3.320342,-2.086538,5.109009,3.7135,6.759278,0.309179307,-1.8409729,-0.057530403,-0.048900843,-0.586810112
10/20/2020,0.8819215,-2.428276,0.63225979,1.1092096,-3.082932,-1.762523,4.663891,3.381034,6.265478,0.363188328,-1.5463545,-0.048323578,-0.041075041,-0.492900497
10/21/2020,0.4854382,-2.030564,0.25503774,0.7216991,-2.937877,-1.311104,4.824533,3.403878,6.931074,0.239065698,-1.5451258,-0.048285181,-0.041042404,-0.492508849
10/22/2020,1.1089313,-1.935101,0.88504824,1.3523614,-2.42106,-1.491134,4.822717,3.693589,6.035797,0.573061199,-0.8261697,-0.025817803,-0.021945133,-0.263341592
10/23/2020,0.7705662,-2.148538,0.55311038,1.0014068,-3.045869,-1.49582,5.063434,3.600074,7.152543,0.358646764,-1.3779718,-0.043061619,-0.036602376,-0.439228511
10/24/2020,0.7617662,-1.78551,0.53931904,1.0036717,-2.351765,-1.278262,4.642048,3.471079,6.011857,0.426637879,-1.0237438,-0.031991994,-0.027193195,-0.326318336
10/25/2020,0.5832285,-1.868482,0.3575917,0.7964116,-2.628952,-1.299899,4.803614,3.435823,7.106599,0.312140283,-1.2852535,-0.040164172,-0.034139546,-0.409674553
10/26/2020,0.5485904,-2.094656,0.33687185,0.774615,-2.785553,-1.449803,4.692421,3.374031,6.505484,0.261899997,-1.5460656,-0.04831455,-0.041067368,-0.49280841
"Showing 1 to 27 of 80 entries, 9 total columns",,,,,,,,,,#DIV/0!,0,0,0,0
